#
# Graph: facebook_combined.txt -> facebook_combined facebook_combined. A=0.001, K=1000-1.5-100M, Cvr=100, SzFrc=0.001 G(3698, 85963) (Mon Sep 29 19:06:52 2025)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (3698, 85963)
1	1
2	0.6
3	0.4
4	0.411765
5	0.375
6	0.3
7	0.227273
8	0.142857
9	0.114754
10	0.111111
11	0.130435
12	0.126761
13	0.156627
14	0.142857
15	0.15942
16	0.157143
17	0.123675
18	0.10274
19	0.0857143
20	0.0979021
21	0.124579
22	0.123506
23	0.0940499
24	0.0691589
25	0.0493601
26	0.0728242
27	0.142077
28	0.129032
29	0.12766
30	0.121053
31	0.119792
32	0.119171
33	0.118557
34	0.113441
35	0.0994371
36	0.0858726
37	0.0757991
38	0.0664273
39	0.0696429
40	0.0761062
41	0.0816506
42	0.0866551
43	0.0915312
44	0.0916808
45	0.0909091
46	0.089241
47	0.0888158
48	0.0846906
49	0.0836718
50	0.081386
51	0.0825982
52	0.0846645
53	0.0857143
54	0.091195
55	0.091621
56	0.102761
57	0.115269
58	0.120178
59	0.122689
60	0.122278
61	0.12
62	0.119601
63	0.123558
64	0.123153
65	0.12275
66	0.116495
67	0.109724
68	0.102398
69	0.0935115
70	0.090621
71	0.0828384
72	0.0797011
73	0.0773052
74	0.0803324
75	0.0842266
76	0.0853808
77	0.0886536
78	0.0904585
79	0.0920321
80	0.0930376
81	0.0940381
82	0.0966952
83	0.0982306
84	0.0997567
85	0.100182
86	0.102781
87	0.104154
88	0.107121
89	0.109923
90	0.112941
91	0.115654
92	0.117955
93	0.120719
94	0.123884
95	0.1284
96	0.132218
97	0.133512
98	0.135932
99	0.134906
100	0.12799
101	0.12567
102	0.116087
103	0.114638
104	0.110983
105	0.111366
106	0.116809
107	0.116676
108	0.115275
109	0.113944
110	0.107072
111	0.102313
112	0.0995705
113	0.0947205
114	0.0937984
116	0.0903499
117	0.0884718
118	0.0877059
119	0.0864104
120	0.0848877
122	0.0835843
123	0.0827068
124	0.0809595
125	0.0811215
126	0.080417
128	0.0793769
129	0.0786934
130	0.0784604
132	0.0778311
133	0.0776021
134	0.0774312
135	0.0773744
137	0.0777656
138	0.0780452
139	0.0782103
141	0.0784243
142	0.0793991
144	0.0797414
145	0.0792967
146	0.079456
148	0.0803949
150	0.0805384
151	0.0798272
153	0.0791497
154	0.0788644
156	0.0781671
158	0.0771484
159	0.0751288
161	0.0724385
162	0.0709939
164	0.0683039
166	0.0661046
167	0.0649747
169	0.0615108
171	0.0587902
172	0.0562771
174	0.053707
176	0.0516177
178	0.0492625
179	0.0477778
181	0.0461879
183	0.0442233
185	0.0413888
187	0.0403138
189	0.0396139
190	0.0391498
192	0.0382771
194	0.0380935
196	0.0372369
198	0.0369641
200	0.036568
201	0.0356409
204	0.034892
206	0.0338429
208	0.0326164
210	0.0311346
213	0.0293679
215	0.0286265
217	0.0278968
219	0.0272204
221	0.0264144
223	0.0260385
226	0.0255786
227	0.0260824
229	0.0275102
231	0.0284278
235	0.0269235
237	0.0266533
238	0.0267427
242	0.0269513
244	0.0268293
247	0.0247164
248	0.0248937
252	0.0245264
253	0.0247012
257	0.0235971
258	0.0235597
261	0.0222924
264	0.0222485
267	0.0227808
270	0.0208415
273	0.0200819
275	0.0192719
278	0.0187948
279	0.0201161
284	0.0166635
287	0.0162059
289	0.016562
291	0.0168913
293	0.0181749
296	0.0190171
301	0.0163162
304	0.0124481
307	0.0106134
309	0.00987965
314	0.00766079
317	0.00693333
318	0.00692841
321	0.00796319
325	0.00915171
327	0.00948034
331	0.0103309
334	0.0111732
338	0.0140698
341	0.0267072
344	0.0279744
347	0.0287347
351	0.0294807
357	0.0323404
360	0.0322032
363	0.0319649
368	0.0317302
370	0.0315224
374	0.0313583
379	0.0312913
383	0.0311084
386	0.0309408
388	0.0306712
393	0.0307159
396	0.0309555
399	0.0310918
403	0.0311839
407	0.0312909
414	0.0323842
415	0.0324339
422	0.0334187
424	0.0352989
428	0.0359952
436	0.0368735
440	0.0366078
444	0.0363377
449	0.0354551
453	0.0346088
458	0.034191
462	0.0332631
467	0.03248
468	0.0323183
476	0.029834
481	0.029483
486	0.0254305
491	0.0213612
493	0.0192117
501	0.0177366
506	0.0142734
511	0.0102877
516	0.00882437
521	0.00747328
526	0.00565398
532	0.00422178
533	0.00459102
542	0.00370851
543	0.00370782
549	0.0111101
554	0.0173976
563	0.0219858
568	0.0215638
571	0.0222416
581	0.0227757
587	0.0214643
589	0.0214781
594	0.0241992
601	0.023914
609	0.0230443
612	0.0234871
618	0.0238498
630	0.0229788
636	0.0224636
642	0.0215144
649	0.0190018
655	0.0171275
662	0.0139026
668	0.0114803
670	0.00743341
676	0.00901982
683	0.0109173
690	0.0134616
697	0.0154272
704	0.0165672
717	0.0149815
724	0.0107408
731	0.0084167
738	0.00708269
746	0.00147663
747	0.00150898
754	0.00236621
762	0.0037372
770	0.00534651
777	0.00606755
785	0.00691414
793	0.00757322
801	0.00881528
809	0.0100573
817	0.011853
827	0.0131804
840	0.0136862
849	0.0126315
857	0.0110046
866	0.00986862
875	0.00801009
883	0.00699837
892	0.00586838
901	0.00564712
908	0.00564246
919	0.00530323
920	0.00517993
933	0.00548468
947	0.00524557
957	0.00475049
965	0.00371926
976	0.00333955
