#
# Graph: facebook_combined.txt -> facebook_combined facebook_combined. A=0.001, K=1000-1.5-100M, Cvr=1000, SzFrc=0.001 G(3698, 85963) (Mon Sep 29 17:15:58 2025)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (3698, 85963)
1	1
2	0.6
3	0.4
4	0.411765
5	0.375
6	0.3
7	0.227273
8	0.142857
9	0.114754
10	0.111111
11	0.130435
12	0.126761
13	0.156627
14	0.142857
15	0.15942
16	0.157143
17	0.123675
18	0.10274
19	0.0857143
20	0.0979021
21	0.124579
22	0.123506
23	0.0940499
24	0.0691589
25	0.0493601
26	0.0728242
27	0.142077
28	0.129032
29	0.12766
30	0.121053
31	0.119792
32	0.119171
33	0.118557
34	0.113441
35	0.0994371
36	0.0858726
37	0.0757991
38	0.0664273
39	0.0696429
40	0.0761062
41	0.0816506
42	0.0866551
43	0.0915312
44	0.0916808
45	0.0909091
46	0.089241
47	0.0888158
48	0.0846906
49	0.0836718
50	0.081386
51	0.0825982
52	0.0845295
53	0.0857143
54	0.091195
55	0.091621
56	0.102761
57	0.115269
58	0.120178
59	0.122689
60	0.122278
61	0.12
62	0.119601
63	0.123558
64	0.123153
65	0.119652
66	0.116434
67	0.107782
68	0.0999359
69	0.090622
70	0.0852665
71	0.0828384
72	0.0797011
73	0.0773052
74	0.0803324
75	0.0832823
76	0.0853808
77	0.0886536
78	0.0904585
79	0.091471
80	0.0924784
81	0.0940381
82	0.0955882
83	0.0971289
84	0.0986602
85	0.100182
86	0.102781
87	0.104154
88	0.107121
89	0.109923
90	0.112941
91	0.115654
92	0.117955
93	0.120719
94	0.123884
95	0.127392
96	0.130103
97	0.13301
98	0.134296
99	0.124474
100	0.120517
101	0.119062
102	0.118922
103	0.114638
104	0.110983
105	0.111366
106	0.109833
107	0.108434
108	0.107041
109	0.107429
110	0.105409
111	0.101256
112	0.0992963
113	0.0947205
114	0.0925281
116	0.0887438
117	0.0877731
118	0.0866743
119	0.0853659
120	0.0846561
122	0.0829891
123	0.0821147
124	0.0809595
125	0.0811215
126	0.0799104
128	0.0793769
129	0.0786934
130	0.0784604
132	0.0777164
133	0.0776021
134	0.0774312
135	0.0773744
137	0.0777089
138	0.0779315
140	0.0781476
141	0.0780911
143	0.0786197
144	0.0790798
145	0.0792399
146	0.0793763
148	0.0798023
149	0.0803949
151	0.0798272
153	0.0791497
154	0.0788644
156	0.0779058
158	0.0768532
159	0.0751288
161	0.0723881
162	0.0711531
164	0.0682777
166	0.0649747
167	0.0636069
169	0.0607672
171	0.0579355
172	0.0562771
174	0.0536183
176	0.0508918
178	0.0479014
179	0.0470196
181	0.0450318
183	0.0430631
185	0.0412362
187	0.040051
189	0.0389328
190	0.0387302
192	0.0381417
194	0.037465
196	0.0372369
198	0.0362853
200	0.0360885
202	0.0355591
204	0.0346048
206	0.0336305
208	0.0322353
210	0.0309369
213	0.0293679
215	0.0283663
217	0.0277875
219	0.0271497
221	0.0264144
223	0.0260385
226	0.0255786
227	0.0260824
229	0.0273366
232	0.0276167
235	0.0269235
237	0.0266533
238	0.026709
241	0.0267896
244	0.0257763
247	0.0247164
248	0.0248937
252	0.0245264
253	0.0247012
257	0.0220896
258	0.0222753
261	0.0222924
264	0.0222485
267	0.0227808
270	0.0208415
273	0.0200819
275	0.0192719
278	0.0187948
281	0.0186574
284	0.0166635
287	0.0162059
289	0.016562
290	0.0165494
293	0.0181749
296	0.0184211
301	0.0163162
304	0.0124481
307	0.0104317
309	0.00987965
314	0.00766079
317	0.00693333
318	0.00692841
321	0.00796319
325	0.00915171
327	0.0093195
332	0.00994244
334	0.0109622
337	0.0124913
343	0.013609
344	0.0134251
347	0.0282448
351	0.0294807
357	0.0319217
360	0.0318788
364	0.0318244
368	0.0315802
371	0.0313996
375	0.0312491
379	0.0310133
383	0.0309062
385	0.0307139
387	0.0307057
391	0.0306987
396	0.0306847
399	0.0307963
403	0.0310544
408	0.0311821
411	0.0311822
415	0.0312983
420	0.0314693
425	0.0319969
431	0.0329411
434	0.0328874
437	0.034337
444	0.0354668
449	0.0352009
453	0.0346088
458	0.0340615
462	0.033347
467	0.0317982
472	0.02894
476	0.0277329
481	0.0249424
486	0.0221607
490	0.0181462
492	0.0171216
501	0.0161762
505	0.0123122
511	0.0102877
516	0.00873197
521	0.00652482
526	0.00565398
532	0.00422178
533	0.00459102
542	0.00370851
543	0.00370782
549	0.0109224
554	0.0138517
561	0.0138916
565	0.0139032
572	0.0142926
580	0.0150367
582	0.0152225
589	0.0160651
596	0.0161407
600	0.0163438
609	0.0161412
616	0.015764
623	0.0154008
630	0.0146774
636	0.0140045
642	0.0130705
649	0.0121556
655	0.0107962
662	0.00949094
668	0.00804105
670	0.00743341
676	0.00883589
683	0.0109173
690	0.0134267
697	0.0153498
704	0.0162204
717	0.0152139
724	0.011098
731	0.0084167
738	0.00700147
746	0.00147663
747	0.00150898
754	0.00228544
762	0.00370388
769	0.0045243
778	0.00606714
785	0.00688543
793	0.00750167
801	0.00884719
809	0.0100573
817	0.0116874
825	0.0128928
840	0.0124128
849	0.0109098
857	0.00970964
866	0.00848515
874	0.00722388
882	0.00660157
891	0.00614946
898	0.00620642
910	0.00571691
917	0.00539022
920	0.00557073
938	0.00473718
939	0.00472184
957	0.00351078
965	0.00344947
973	0.00335717
