k,phi
206,0.0017618927762396174
101,0.5867490174059518
2,0.8571428571428571
14,0.8766519823788547
4,0.6571428571428571
341,0.006860158311345646
9,0.882640586797066
3,0.88
20,0.8661909009812667
6,0.6941176470588235
543,0.006105006105006105
8,0.8409090909090909
24,0.18562874251497005
18,0.9223021582733812
21,0.9079646017699115
543,0.006105006105006105
5,0.8571428571428571
2,0.7777777777777778
26,0.8660084626234132
5,0.7567567567567568
206,0.0017618927762396174
20,0.21588089330024815
17,0.7946084724005135
8,0.7065217391304348
4,0.8765432098765432
206,0.0017618927762396174
3,0.9245283018867925
2,0.7142857142857143
2,0.6666666666666666
5,0.7567567567567568
206,0.0017618927762396174
4,0.6571428571428571
5,0.9195402298850575
4,0.84
4,0.6571428571428571
543,0.006105006105006105
22,0.7713004484304933
50,0.8539176626826029
17,0.9212598425196851
4,0.6363636363636364
341,0.006860158311345646
4,0.8064516129032258
2,0.7777777777777778
4,0.6363636363636364
3,0.7692307692307693
544,0.0059104981705600905
25,0.7553793884484711
6,0.8461538461538461
2,0.6666666666666666
2,0.8823529411764706
341,0.006860158311345646
2,0.5
2,0.8461538461538461
5,0.8444444444444444
2,0.8823529411764706
206,0.0017618927762396174
4,0.6
2,0.9090909090909091
43,0.812361049355269
2,0.8
206,0.0017618927762396174
3,0.7391304347826086
3,0.8888888888888888
2,0.5
40,0.2191780821917808
341,0.006860158311345646
4,0.952
3,0.5555555555555556
63,0.8030211480362538
51,0.8411033411033411
22,0.7713004484304933
21,0.948952380952381
2,0.8823529411764706
49,0.841556909770002
544,0.0059104981705600905
2,0.9917355371900827
9,0.8311111111111111
3,0.8125
20,0.7732484076433122
544,0.0059104981705600905
2,0.5
9,0.9880329094988781
44,0.8718487394957983
4,0.25
543,0.006105006105006105
3,0.7692307692307693
7,0.7423312883435583
6,0.781021897810219
2,0.8823529411764706
216,0.12321139527355131
3,0.8421052631578947
3,0.8666666666666667
19,0.4666666666666667
21,0.4588235294117647
206,0.0017618927762396174
4,0.6
7,0.8343949044585988
2,0.9591836734693877
49,0.841556909770002
341,0.006860158311345646
4,0.90625
2,0.9
3,0.8125
3,0.8947368421052632
341,0.006860158311345646
22,0.7713004484304933
2,0.9047619047619048
2,0.5
2,0.9696969696969697
2,0.5
6,0.6626506024096386
24,0.872048743335872
4,0.6363636363636364
543,0.006105006105006105
3,0.42857142857142855
4,0.84
4,0.6551724137931034
206,0.0017618927762396174
6,0.5
2,0.8666666666666667
2,0.6666666666666666
4,0.6363636363636364
341,0.006860158311345646
3,0.9603960396039604
0,1.0
2,0.5
4,0.6363636363636364
206,0.0017618927762396174
4,0.6
5,0.6956521739130435
2,0.7142857142857143
5,0.8571428571428571
543,0.006105006105006105
3,0.42857142857142855
2,0.7142857142857143
4,0.6923076923076923
6,0.9212598425196851
206,0.0017618927762396174
4,0.6363636363636364
3,0.8571428571428571
7,0.75
2,0.8823529411764706
543,0.006105006105006105
10,0.8223938223938224
2,0.9565217391304348
20,0.8746594005449592
4,0.6571428571428571
543,0.006105006105006105
7,0.8679245283018868
14,0.9132530120481928
6,0.6941176470588235
5,0.8571428571428571
341,0.006860158311345646
4,0.6
2,0.8
2,0.9310344827586207
3,0.7692307692307693
543,0.006105006105006105
6,0.391304347826087
2,0.8571428571428571
6,0.9525423728813559
5,0.8823529411764706
544,0.0059104981705600905
5,0.7567567567567568
7,0.7037037037037037
76,0.7967452673530389
2,0.9696969696969697
341,0.006860158311345646
27,0.5776744186046512
3,0.76
4,0.6
40,0.8703475474488538
206,0.0017618927762396174
2,0.9090909090909091
5,0.8260869565217391
7,0.9360341151385928
2,0.8823529411764706
2,0.972972972972973
3,0.9178082191780822
4,0.6551724137931034
40,0.2191780821917808
11,0.8814016172506739
2,0.9393939393939394
5,0.797979797979798
4,0.6571428571428571
206,0.0017618927762396174
5,0.8962962962962963
2,0.8181818181818182
7,0.6170212765957447
341,0.006860158311345646
3,0.8421052631578947
21,0.8992950654582075
5,0.6296296296296297
4,0.6363636363636364
543,0.006105006105006105
23,0.896875
4,0.9130434782608695
14,0.9317073170731708
3,0.7391304347826086
543,0.006105006105006105
3,0.7692307692307693
2,0.8666666666666667
2,0.5
2,0.8823529411764706
544,0.0059104981705600905
0,1.0
2,0.7142857142857143
4,0.7297297297297297
206,0.0017618927762396174
5,0.8434782608695652
5,0.7049180327868853
4,0.6923076923076923
59,0.8285116765423493
206,0.0017618927762396174
45,0.811041548093341
4,0.7272727272727273
5,0.918918918918919
2,0.8823529411764706
341,0.006860158311345646
157,0.3379393211174527
3,0.9310344827586207
2,0.875
4,0.6571428571428571
544,0.004779308405960078
2,0.5
2,0.9534883720930233
2,0.6666666666666666
6,0.9205298013245033
341,0.006860158311345646
2,0.9629629629629629
4,0.8181818181818182
2,0.5
4,0.6571428571428571
543,0.006105006105006105
4,0.9555555555555556
2,0.7142857142857143
20,0.8661909009812667
40,0.2191780821917808
341,0.006860158311345646
8,0.9368932038834952
4,0.9644970414201184
37,0.8762641284949435
40,0.2191780821917808
543,0.006105006105006105
2,0.8333333333333334
2,0.92
4,0.6923076923076923
2,0.9411764705882353
206,0.0017618927762396174
2,0.9696969696969697
26,0.9129451667608819
24,0.915370705244123
4,0.6571428571428571
4,0.6571428571428571
0,1.0
2,0.9310344827586207
2,0.8823529411764706
543,0.006105006105006105
23,0.8992805755395683
9,0.6747967479674797
3,0.9411764705882353
4,0.6363636363636364
341,0.006860158311345646
2,0.8571428571428571
9,0.8
3,0.8064516129032258
20,0.7732484076433122
543,0.006105006105006105
5,0.7857142857142857
2,0.875
4,0.7073170731707317
4,0.6363636363636364
543,0.006105006105006105
21,0.2097560975609756
4,0.75
5,0.9461538461538461
2,0.8823529411764706
341,0.006860158311345646
2,0.9920634920634921
2,0.5
4,0.7073170731707317
2,0.8823529411764706
341,0.006860158311345646
5,0.5348837209302325
5,0.7619047619047619
