k,phi
197,0.0381201044386423
341,0.006860158311345646
341,0.006860158311345646
206,0.0017618927762396174
543,0.006105006105006105
206,0.0017618927762396174
341,0.006860158311345646
206,0.0017618927762396174
341,0.006860158311345646
206,0.0017618927762396174
206,0.0017618927762396174
341,0.006860158311345646
341,0.006860158311345646
59,0.009852216748768473
206,0.0017618927762396174
341,0.006860158311345646
544,0.0059104981705600905
206,0.0017618927762396174
544,0.0059104981705600905
543,0.006105006105006105
543,0.006105006105006105
543,0.006105006105006105
543,0.006105006105006105
341,0.006860158311345646
543,0.006105006105006105
206,0.0017618927762396174
543,0.006105006105006105
544,0.0059104981705600905
206,0.0017618927762396174
341,0.006860158311345646
543,0.006105006105006105
341,0.006860158311345646
341,0.006860158311345646
59,0.009852216748768473
341,0.006860158311345646
206,0.0017618927762396174
216,0.12321139527355131
341,0.006860158311345646
206,0.0017618927762396174
206,0.0017618927762396174
206,0.0017618927762396174
206,0.0017618927762396174
543,0.006105006105006105
206,0.0017618927762396174
543,0.006105006105006105
206,0.0017618927762396174
206,0.0017618927762396174
543,0.006105006105006105
206,0.0017618927762396174
226,0.025578562728380026
341,0.006860158311345646
206,0.0017618927762396174
544,0.0059104981705600905
206,0.0017618927762396174
543,0.006105006105006105
544,0.0059104981705600905
341,0.006860158311345646
206,0.0017618927762396174
206,0.0017618927762396174
206,0.0017618927762396174
341,0.006860158311345646
206,0.0017618927762396174
543,0.006105006105006105
543,0.006105006105006105
341,0.006860158311345646
341,0.006860158311345646
543,0.006105006105006105
543,0.006105006105006105
543,0.006105006105006105
341,0.006860158311345646
543,0.006105006105006105
206,0.0017618927762396174
341,0.006860158311345646
206,0.0017618927762396174
341,0.006860158311345646
543,0.006105006105006105
341,0.006860158311345646
543,0.006105006105006105
543,0.006105006105006105
341,0.006860158311345646
543,0.006105006105006105
341,0.006860158311345646
544,0.0059104981705600905
59,0.009852216748768473
206,0.0017618927762396174
341,0.006860158311345646
226,0.025578562728380026
543,0.006105006105006105
543,0.006105006105006105
206,0.0017618927762396174
543,0.006105006105006105
341,0.006860158311345646
216,0.12321139527355131
206,0.0017618927762396174
216,0.12321139527355131
206,0.0017618927762396174
341,0.006860158311345646
341,0.006860158311345646
544,0.0059104981705600905
543,0.006105006105006105
341,0.006860158311345646
543,0.006105006105006105
206,0.0017618927762396174
543,0.006105006105006105
543,0.006105006105006105
206,0.0017618927762396174
341,0.006860158311345646
341,0.006860158311345646
341,0.006860158311345646
206,0.0017618927762396174
341,0.006860158311345646
206,0.0017618927762396174
39,0.11483253588516747
341,0.006860158311345646
206,0.0017618927762396174
206,0.0017618927762396174
543,0.006105006105006105
543,0.006105006105006105
206,0.0017618927762396174
341,0.006860158311345646
206,0.0017618927762396174
544,0.0059104981705600905
543,0.006105006105006105
341,0.006860158311345646
206,0.0017618927762396174
750,0.007719481878843386
543,0.006105006105006105
341,0.006860158311345646
206,0.0017618927762396174
543,0.006105006105006105
543,0.006105006105006105
341,0.006860158311345646
341,0.006860158311345646
341,0.006860158311345646
544,0.0059104981705600905
341,0.006860158311345646
543,0.006105006105006105
544,0.0059104981705600905
341,0.006860158311345646
206,0.0017618927762396174
192,0.08422496570644719
341,0.006860158311345646
341,0.006860158311345646
341,0.006860158311345646
206,0.0017618927762396174
543,0.006105006105006105
341,0.006860158311345646
206,0.0017618927762396174
341,0.006860158311345646
341,0.006860158311345646
341,0.006860158311345646
341,0.006860158311345646
341,0.006860158311345646
543,0.006105006105006105
341,0.006860158311345646
341,0.006860158311345646
206,0.0017618927762396174
543,0.006105006105006105
341,0.006860158311345646
206,0.0017618927762396174
543,0.006105006105006105
543,0.006105006105006105
544,0.0059104981705600905
206,0.0017618927762396174
543,0.006105006105006105
206,0.0017618927762396174
543,0.006105006105006105
543,0.006105006105006105
543,0.006105006105006105
341,0.006860158311345646
206,0.0017618927762396174
543,0.006105006105006105
543,0.006105006105006105
341,0.006860158311345646
341,0.006860158311345646
206,0.0017618927762396174
544,0.0059104981705600905
216,0.12321139527355131
341,0.006860158311345646
543,0.006105006105006105
543,0.006105006105006105
341,0.006860158311345646
216,0.12321139527355131
206,0.0017618927762396174
543,0.006105006105006105
543,0.006105006105006105
341,0.006860158311345646
341,0.006860158311345646
750,0.007719481878843386
544,0.0059104981705600905
341,0.006860158311345646
341,0.006860158311345646
543,0.006105006105006105
543,0.006105006105006105
544,0.0059104981705600905
206,0.0017618927762396174
543,0.006105006105006105
206,0.0017618927762396174
206,0.0017618927762396174
216,0.12321139527355131
543,0.006105006105006105
59,0.009852216748768473
543,0.006105006105006105
341,0.006860158311345646
543,0.006105006105006105
543,0.006105006105006105
543,0.006105006105006105
206,0.0017618927762396174
341,0.006860158311345646
206,0.0017618927762396174
341,0.006860158311345646
216,0.12321139527355131
543,0.006105006105006105
341,0.006860158311345646
216,0.12321139527355131
341,0.006860158311345646
341,0.006860158311345646
206,0.0017618927762396174
206,0.0017618927762396174
226,0.025578562728380026
206,0.0017618927762396174
206,0.0017618927762396174
544,0.0059104981705600905
226,0.025578562728380026
543,0.006105006105006105
543,0.006105006105006105
206,0.0017618927762396174
341,0.006860158311345646
543,0.006105006105006105
544,0.0059104981705600905
543,0.006105006105006105
543,0.006105006105006105
543,0.006105006105006105
206,0.0017618927762396174
750,0.007719481878843386
543,0.006105006105006105
543,0.006105006105006105
543,0.006105006105006105
206,0.0017618927762396174
206,0.0017618927762396174
341,0.006860158311345646
544,0.0059104981705600905
206,0.0017618927762396174
341,0.006860158311345646
206,0.0017618927762396174
341,0.006860158311345646
341,0.006860158311345646
23,0.13827655310621242
341,0.006860158311345646
341,0.006860158311345646
206,0.0017618927762396174
543,0.006105006105006105
341,0.006860158311345646
206,0.0017618927762396174
59,0.009852216748768473
341,0.006860158311345646
206,0.0017618927762396174
206,0.0017618927762396174
206,0.0017618927762396174
206,0.0017618927762396174
544,0.0059104981705600905
206,0.0017618927762396174
543,0.006105006105006105
206,0.0017618927762396174
341,0.006860158311345646
544,0.0059104981705600905
206,0.0017618927762396174
543,0.006105006105006105
341,0.006860158311345646
206,0.0017618927762396174
341,0.006860158311345646
543,0.006105006105006105
341,0.006860158311345646
206,0.0017618927762396174
