size,conductance,row_index,cluster_size,cluster_nodes
2.0,0.3333333333333333,168,2,7464 13841
3.0,0.125,8857,3,19150 7929 20225
4.0,0.07692307692307693,5612,4,15942 19313 6902 9249
5.0,0.047619047619047616,9732,5,17489 15108 7729 805 12828
6.0,0.037037037037037035,1361,6,14750 857 2481 8343 8723 15516
7.0,0.02564102564102564,3353,7,16940 2645 6590 19293 8111 10662 18367
8.0,0.030303030303030304,135,8,413 272 994 1540 2385 8634 12747 21830
9.0,0.02857142857142857,4385,9,9289 3435 20605 12197 18814 1143 2448 3284 10169
10.0,0.03225806451612903,1675,10,2196 3979 11429 12752 15109 18315 18412 19782 22072 22313
11.0,0.037037037037037035,2531,11,18920 17563 12192 17285 18879 10699 18174 15273 7281 6527 13210
12.0,0.034482758620689655,7044,12,13326 7127 2666 5796 7534 5551 19689 13096 16279 6665 20869 19692
13.0,0.08571428571428572,4741,13,16429 10191 18735 7561 20518 17735 18319 12123 204 8334 2070 18720 17595
14.0,0.017543859649122806,2421,14,17857 18756 13152 12438 6613 20929 7996 18649 14681 5954 4639 7517 21688 14612
16.0,0.07547169811320754,4823,16,13047 21109 20616 2168 4164 7557 2778 7856 12577 9226 18988 19997 10647 5243 9271 4352
18.0,0.06790123456790123,905,18,10430 1674 2091 3333 4541 7905 8667 10519 10852 11342 12850 13114 13248 14909 16136 16159 16273 21394
20.0,0.010526315789473684,3038,20,4332 21741 16481 10012 5350 15726 11555 3381 20836 6472 440 9216 5672 13765 667 6010 12049 3427 19425 19074
21.0,0.015384615384615385,2265,21,2373 7342 3551 21369 948 20812 19471 12291 8597 19158 5914 6863 12423 9025 19620 2788 2264 21624 5438 4552 14489
23.0,0.03167420814479638,2385,23,8393 10135 15866 21957 17295 21891 18473 2347 1766 7221 8842 10539 17882 7104 10457 15585 587 15097 21480 4788 2153 10048 102
25.0,0.04895104895104895,4646,25,8352 773 14991 4552 15624 12291 19471 19620 5914 5438 19158 6863 948 20812 9025 2373 8597 2788 12423 2264 3551 7342 21624 21369 14489
27.0,0.017142857142857144,3027,27,1926 4828 8209 8082 6278 3048 2909 2669 1374 1264 437 20728 19196 16551 16176 17071 11630 13578 14719 14146 12059 18555 13894 13097 20519 5743 8114
32.0,0.04918032786885246,2394,32,21198 13646 2569 1941 21333 11263 4340 14449 7635 13889 4386 20832 2285 9826 17406 19927 1131 6545 11640 12612 2333 20727 20954 17298 8213 16489 22452 3410 7233 21579 10704 2291
35.0,0.010256410256410256,2585,35,16682 20564 610 12850 21394 2091 11342 1674 16136 13114 16159 8667 16273 10430 13248 10519 14909 10852 7905 4541 3333 5334 4289 17627 15498 15774 18243 15392 168 9391 17765 2703 2061 4778 10821
38.0,0.02097902097902098,4987,38,10133 2441 22253 8585 22160 18184 5754 16909 9767 22431 19299 15029 8816 18251 16745 13693 14201 10688 8165 2227 2542 18674 19018 15489 8707 21794 16300 6989 728 13996 21435 2888 15253 14704 3249 4454 11792 20535
41.0,0.03896103896103896,14299,41,11792 15253 14704 18256 9345 3800 8585 5754 16909 18184 2441 8165 15029 9767 22431 19299 10133 13693 14201 2227 10688 22253 2542 19018 15489 18674 22160 8707 18251 16745 8816 21794 6989 16300 21435 728 13996 2888 3249 4454 20535
43.0,0.034482758620689655,2406,43,5141 19057 22394 12834 16784 6000 4647 7700 2579 22411 14518 13413 2295 15242 12933 11586 14953 1843 15048 6569 5222 21966 11093 892 14982 20815 10888 15271 8100 20461 10551 9633 11493 6574 6937 6900 10629 10220 8859 17410 418 10440 7213
47.0,0.043373493975903614,25247,47,1444 19061 9283 3116 12282 21638 6296 15790 4210 20631 6430 15764 711 5659 21968 19364 6004 18414 15013 6593 2602 4146 16326 12006 13578 12255 19078 16176 8209 8082 6278 3048 2909 2669 1374 1264 437 20728 19196 16551 12326 11630 17071 1926 9451 14719 4828
53.0,0.058823529411764705,9704,53,9776 1081 19210 7105 1929 13131 1786 16353 226 14025 2401 12484 17337 15551 13262 13052 2056 11207 21451 6450 21471 7450 19212 3716 9143 7227 6558 6582 22361 11791 6073 5989 18707 15659 11380 5493 7466 11660 6044 11989 13540 6324 5804 5868 19652 8019 2041 15711 12942 4951 14764 10765 20984
62.0,0.0754414125200642,8408,62,1512 10601 20016 2073 17592 10235 21926 9342 10785 13396 4062 2110 20620 937 6581 9059 6086 10344 11347 12394 20692 4283 664 21025 784 10679 10269 10040 3484 666 21168 14319 20139 6100 15276 21306 21570 8218 18746 6331 12268 20547 6059 2046 16565 18678 20493 7057 21156 11079 11072 4825 5219 15592 20149 20414 12008 5367 7110 4058 736 1400
68.0,0.02932551319648094,2731,68,21526 11026 10358 1555 12508 16237 8571 13433 2540 18554 5795 19811 21429 4120 21958 1371 12309 16241 8319 18358 19012 13385 16667 1509 16697 1616 3682 3414 1396 6520 8888 9820 9000 11830 13572 617 12239 3406 19171 15728 6005 6159 11290 21015 10508 5125 11407 20635 20001 14430 18166 10734 19669 1664 21734 14297 11675 14848 15635 12959 15320 18156 5489 1427 19141 8666 3431 17193
69.0,0.030656934306569343,16392,69,15635 11675 12959 16667 21734 9820 15728 19141 20001 8888 1664 11830 18166 5125 18156 9000 16697 1396 16237 3406 14430 18554 20635 3414 12239 6159 21015 11290 10508 21429 13572 6520 21958 19669 19171 13385 4120 617 6005 18358 11407 1509 10734 1371 1616 19811 3682 14297 2540 21526 1427 16241 12508 5795 13433 8571 12309 11026 10358 1555 19012 14505 8319 15320 5489 8666 14848 3431 17193
82.0,0.0286512928022362,2529,82,12184 13876 18533 4723 3442 1057 17063 13740 14212 15879 20032 16616 10384 13150 7851 21696 15937 5615 6314 15241 12767 22011 9861 12096 14122 4961 1455 21680 14812 8267 833 3826 2635 16428 8321 20514 4222 18642 7563 5845 8645 10081 21894 14312 12097 14762 853 7388 6182 16875 14178 19417 20058 4359 14161 12334 9459 6227 13182 11361 21047 21591 6876 4030 5420 10546 4215 22132 18596 1358 21195 12620 17341 11670 8116 5717 8703 16347 2522 5976 20947 13703
83.0,0.028611304954640614,4432,83,21680 5717 13182 10546 4961 9861 21696 6182 18642 4222 14178 8267 7388 12334 5615 12184 22132 18533 14161 12097 9459 17063 13876 4723 21591 4215 18596 13740 6314 10384 17341 12620 3442 14212 12767 2635 15879 20032 16616 15937 7851 833 13150 20514 16428 3826 1057 4359 12096 22011 14122 10081 14812 1455 7563 8321 15241 6227 21894 8645 853 5845 20058 14762 11361 19417 8116 1358 5420 4030 21047 6876 2522 5976 11670 21195 16875 14312 8703 13703 16347 20947 14711
