size,conductance,row_index,cluster_size,cluster_nodes
3.0,0.14285714285714285,501,3,10121 19234 20840
4.0,0.07692307692307693,8285,4,6902 15942 19313 9249
5.0,0.047619047619047616,4737,5,15108 17489 7729 805 12828
6.0,0.037037037037037035,5349,6,15516 2481 857 14750 8723 8343
7.0,0.02564102564102564,7889,7,19293 2645 16940 8111 6590 10662 18367
8.0,0.030303030303030304,2642,8,12747 272 8634 413 994 1540 2385 21830
9.0,0.02857142857142857,3956,9,3284 2448 1143 9289 18814 12197 20605 3435 10169
10.0,0.03225806451612903,1902,10,18315 2196 3979 11429 12752 15109 18412 19782 22072 22313
11.0,0.037037037037037035,2340,11,17563 18920 12192 17285 18879 10699 18174 15273 7281 6527 13210
12.0,0.034482758620689655,3505,12,2666 7127 16279 13326 5796 7534 5551 19689 13096 6665 20869 19692
13.0,0.031578947368421054,18412,13,4982 7620 20763 10840 16843 13054 18832 16457 13556 7986 20978 19394 12973
14.0,0.017543859649122806,2574,14,17857 18756 13152 12438 6613 20929 7996 18649 14681 5954 7517 4639 14612 21688
15.0,0.02040816326530612,19476,15,7620 4982 20763 10840 16843 13054 18832 13556 7986 20978 19394 16457 12973 11812 14752
17.0,0.08333333333333333,2593,17,1961 2487 20301 22262 5971 10064 10743 13030 16798 3346 14776 18001 5167 11148 8056 16740 4154
18.0,0.022364217252396165,1151,18,8082 437 1264 1374 1926 2669 2909 3048 6278 8209 11630 13578 14719 16176 16551 17071 19196 20728
20.0,0.010526315789473684,2578,20,667 6010 3427 19425 5350 12049 5672 15726 13765 11555 6472 9216 440 3381 20836 21741 10012 4332 16481 19074
22.0,0.017341040462427744,564,22,21394 610 1674 2091 3333 4289 4541 7905 8667 10430 10519 10852 11342 12850 13114 13248 14909 16136 16159 16273 16682 20564
25.0,0.04895104895104895,11129,25,773 8352 14991 4552 15624 12291 19471 19620 5914 5438 19158 6863 948 20812 9025 2373 8597 2788 12423 2264 3551 7342 21624 21369 14489
27.0,0.017142857142857144,5478,27,1926 4828 8209 8082 6278 3048 2909 2669 1374 1264 437 20728 19196 16551 16176 11630 17071 13578 14719 14146 12059 18555 13894 13097 20519 5743 8114
28.0,0.05555555555555555,41735,28,1871 645 1543 16953 9027 7662 21332 15838 19459 21870 20964 7329 7039 9890 13284 15787 16860 3367 11267 4868 5328 6434 17793 5130 8363 10073 15527 4491
32.0,0.04918032786885246,2347,32,21198 13646 2569 1941 21333 11263 4340 14449 7635 13889 4386 20832 2285 9826 17406 19927 1131 6545 11640 12612 2333 20727 20954 17298 8213 16489 22452 3410 7233 21579 10704 2291
35.0,0.010256410256410256,2846,35,2061 2703 168 4778 17765 9391 18243 15392 15774 10821 15498 17627 4289 3333 5334 4541 7905 10852 21394 11342 14909 13248 10430 1674 16136 16273 16159 13114 10519 8667 2091 12850 16682 20564 610
38.0,0.02097902097902098,2338,38,8816 18251 16745 21794 9767 15029 22431 19299 14201 13693 6989 8707 2542 2227 10688 15489 16300 19018 22253 22160 10133 18674 2441 8585 728 8165 16909 18184 5754 13996 21435 2888 15253 14704 3249 4454 20535 11792
40.0,0.02702702702702703,22685,40,15253 14704 11792 18256 8585 5754 18184 16909 2441 8165 22431 15029 9767 19299 10133 13693 14201 2227 10688 22253 2542 19018 15489 18674 22160 8707 18251 16745 8816 21794 6989 16300 9345 21435 728 13996 2888 3249 4454 20535
43.0,0.034482758620689655,2280,43,14518 6000 7700 21966 14953 8100 22394 6937 892 11093 1843 9633 20815 15048 15242 14982 5222 13413 12834 2579 6569 4647 10888 12933 15271 19057 22411 10551 20461 5141 16784 6574 2295 11586 11493 8859 17410 10629 6900 418 10220 10440 7213
47.0,0.043478260869565216,21131,47,9283 1444 3116 12282 20631 4210 6430 15764 711 5659 19061 21968 21638 15790 19364 6004 18414 6296 6593 15013 2602 12006 16326 4146 12255 13578 12326 9451 19078 2669 1374 1264 437 20728 19196 16551 16176 8082 8209 6278 3048 2909 17071 11630 1926 4828 14719
53.0,0.058823529411764705,4585,53,19210 7105 9776 1081 1929 13131 1786 226 14025 12484 16353 17337 2401 2056 15551 13052 13262 11207 21471 21451 6450 7450 3716 9143 19212 6558 7227 6582 11791 22361 6073 5989 18707 15659 5493 11380 7466 11660 6044 11989 13540 6324 5804 5868 19652 8019 2041 15711 12942 4951 14764 10765 20984
60.0,0.08019323671497584,28465,60,3613 14891 15653 1936 15784 22305 2780 5663 1480 5335 14462 10362 19738 17037 11274 8411 1866 20385 14081 4497 13008 15231 6795 12047 22222 15017 19033 18945 5235 22062 11786 17179 5600 15652 22085 5248 2771 6156 19781 15432 11535 4473 21260 2386 19892 3398 4397 18017 10359 13710 380 1842 21381 16863 20422 22212 304 11641 12448 8732
66.0,0.029498525073746312,7315,66,8666 12959 3682 21734 9820 12239 19141 15728 20001 13572 1664 11830 15635 18156 9000 11675 16237 3406 2540 11290 6159 21015 10508 21429 20635 19171 13433 3414 4120 617 14430 1616 16697 13385 1509 10734 19669 8888 21958 8571 5795 1396 12508 16667 6005 21526 18554 18358 1371 10358 16241 12309 11026 19811 6520 18166 11407 19012 5125 1555 14297 8319 1427 15320 5489 14848
68.0,0.02932551319648094,2418,68,21526 11026 10358 1555 12508 16237 8571 13433 2540 18554 19811 5795 21429 1371 21958 4120 8319 12309 16241 18358 19012 13385 16697 16667 3682 1509 3414 1396 1616 8888 6520 9820 13572 9000 11830 12239 617 3406 15728 19171 6005 21015 10508 11290 6159 5125 20001 11407 20635 18166 10734 14848 14430 19669 14297 1664 21734 15320 15635 11675 12959 5489 1427 18156 19141 8666 3431 17193
79.0,0.028771929824561403,10675,79,4030 20947 6227 12096 2635 16428 4222 18642 3826 20514 8267 14178 21894 7388 6314 9459 12334 10384 16616 3442 21696 15937 17063 12767 15879 4723 14212 12097 7563 1057 13740 1455 12184 22011 7851 14812 18533 5615 9861 14161 13876 20032 15241 13150 14122 833 10081 13182 8321 4215 21680 22132 21591 8645 4359 14762 4961 6182 18596 853 19417 5845 1358 12620 17341 10546 11670 8116 21047 20058 6876 11361 16347 5420 21195 14312 16875 8703 5717
83.0,0.028611304954640614,3482,83,4961 2522 5976 14711 13182 10546 21680 5615 9861 6182 18642 2635 4222 8267 21696 18533 12097 22132 14161 9459 12184 4723 21591 13876 14178 13740 6314 10384 22011 17063 12620 17341 3442 13150 7388 1057 20032 14212 15937 18596 833 14122 20514 16616 12767 1455 12334 4359 15879 7851 16428 15241 3826 12096 4215 14812 7563 10081 8321 8645 6227 5845 21894 5717 14762 853 11361 1358 19417 21047 5420 4030 6876 20058 8116 11670 21195 14312 16875 8703 13703 16347 20947
94.0,0.0380952380952381,6599,94,5717 21680 9861 16760 13060 10330 740 22132 14161 17341 12620 21591 13182 4961 18596 18533 11107 10546 8983 21696 4359 4215 6182 13876 18642 3442 17063 4222 8267 5615 12184 1869 1358 14212 15879 9459 14178 10384 4723 16616 833 7388 2635 13740 20514 1057 14122 22011 10081 6314 16428 15241 3826 12096 7851 8321 12097 12334 13150 15937 1455 20032 12767 8116 8645 6227 7563 853 14812 20531 14762 11670 20794 21894 5845 19417 8344 11361 20058 21047 4030 5420 6876 21195 8703 14312 16875 19506 2522 5976 20437 16347 673 13703
102.0,0.04581551618814905,39200,102,2864 19268 19525 6147 14016 12774 3885 7355 9034 4118 20162 13408 3103 4527 3981 20889 21087 21324 8062 9567 7606 6706 2532 19964 11349 8795 11850 1517 19621 18167 12870 11248 13140 16103 1126 3241 13922 20037 9996 4031 13074 12745 11473 7978 5525 5010 4077 5165 568 44 7288 21681 21274 18539 18235 16105 4917 18624 20168 18638 5589 4401 2160 5317 14703 6398 12025 17591 3074 9641 9813 839 3852 2872 18869 410 15416 4751 7919 5082 21236 19127 11137 20516 9194 1618 5858 13675 12514 11173 10974 79 7228 20335 101 19026 5229 14831 11329 4705 19461 13328
106.0,0.0457410042691604,3483,106,19621 11349 19461 16103 13328 13408 4031 3981 21324 21087 20889 9567 8062 7606 6706 4527 5165 568 18539 18235 12745 11473 44 21681 21274 18624 5525 7288 4077 16105 13074 7978 5010 4917 20168 18638 2532 6398 5589 4401 9996 2160 5317 12025 20037 14703 19964 9813 839 3103 6147 3074 14016 11248 8795 11850 17591 1517 3885 1126 18167 13140 4751 2872 19268 7919 19127 19525 2864 12870 20516 12774 7355 9034 13922 3241 4118 9194 20162 9641 15416 18869 5229 21236 3852 1618 11137 14831 410 5082 5858 12514 11173 10974 7228 79 20335 13675 101 19026 11329 1305 20684 18794 4705 18055
113.0,0.0468187274909964,26436,113,11137 5858 5082 18869 13922 21236 15416 410 9641 11329 101 3241 20335 13675 12514 11173 10974 9034 7228 17591 79 7355 18167 20162 13140 4118 12774 19525 4751 2864 3885 3852 14016 7919 19268 19026 19127 20516 8795 11850 1618 1517 3103 7800 2872 9996 6147 21609 19964 20037 21681 21274 16103 18624 21324 16105 21087 18539 20889 18235 3074 13074 5165 13408 14703 12745 11473 7288 7978 5589 20168 18638 9567 5010 4401 5525 8062 7606 6706 4077 12870 4527 44 568 3981 4031 4917 17520 2160 2532 6398 5317 12025 9813 839 11349 19621 11248 1126 18313 9194 787 19461 8665 13328 1558 1305 20684 5229 18794 14831 18055 10625
126.0,0.04750733137829912,17399,126,5082 11137 5858 8665 18869 13922 3241 21236 7355 9034 20162 4118 15416 9641 410 3213 11329 101 12774 2864 3852 19525 3885 14016 8795 18167 17591 19268 13140 11850 1517 4751 12514 11173 10974 7228 7919 79 20335 13675 19127 20516 6147 3103 7800 16080 1618 2872 19026 14586 12870 21609 2650 9996 17520 5165 4401 16103 13408 3074 21324 21087 20889 4031 16364 20168 4917 18539 18235 12745 19964 11473 9567 18638 8062 2532 7606 6706 20037 5525 4527 4077 21681 3981 14703 12025 21274 568 16105 13074 6398 5317 7978 5010 18624 44 7288 5589 11349 2160 8522 839 9813 19621 11248 11437 19502 1126 7959 5251 14595 787 17002 15169 20201 19524 9194 19461 15009 13328 18313 16732 3854 20684 18055 5229
145.0,0.05443354491248317,15196,145,5858 16130 22018 12068 11137 5082 13922 21236 10600 3241 15416 9641 11329 101 10038 8757 3759 20088 18930 4801 1115 576 19064 1009 9230 1177 18869 8795 8991 10389 17591 18167 13140 9034 3852 7355 4751 20162 4118 20588 19525 12774 7919 2864 410 6770 3475 3885 20516 19268 14016 7758 1618 1966 5177 11850 1517 3103 2872 6147 7537 19127 9996 2854 787 12870 3074 6706 4527 18539 18235 3981 12745 18638 11473 5525 21681 4077 19964 20037 21274 568 16105 13074 7978 5010 4031 14703 5589 18624 44 7288 6398 4401 5165 4917 16103 13408 2160 21324 21087 20889 9567 8062 10813 20168 7606 12025 2532 5317 839 9813 19621 11248 11349 17279 1126 8665 19089 1812 7800 19461 1558 7228 79 20335 13675 12514 11173 13328 10974 17738 11357 9194 21609 747 18055 17861 11375 17520 8074 19026 6783 12685 5229
