#
# Graph: ../../../datasets/facebook_pages/musae_facebook_no_self_loops.txt -> musae_facebook_no_self_loops musae_facebook_no_self_loops. A=0.001, K=1000-1.5-100M, Cvr=10, SzFrc=0.001 G(19153, 167137) (Tue Nov 25 16:30:16 2025)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (19153, 167137)
1	1
2	0.5
3	0.25
4	0.142857
5	0.157895
6	0.0769231
7	0.0454545
8	0.0545455
9	0.0952381
10	0.0322581
11	0.0740741
12	0.0344828
13	0.048951
14	0.0547945
15	0.0540541
16	0.0252101
17	0.0163934
18	0.0192308
19	0.0157729
20	0.0248447
21	0.0146628
22	0.0144928
23	0.0143266
24	0.014245
25	0.0169492
26	0.0172414
27	0.0222222
28	0.0243902
29	0.0246575
30	0.0212766
31	0.0184697
32	0.0104167
33	0.0377834
34	0.037594
35	0.0374065
36	0.041769
37	0.0436893
38	0.0357143
39	0.035533
40	0.040201
41	0.04
42	0.037037
43	0.0330189
44	0.0328638
45	0.0327103
46	0.0348028
47	0.034642
48	0.0344828
49	0.0387244
50	0.0428894
51	0.040724
52	0.0426966
53	0.0446429
54	0.0443038
55	0.0455259
56	0.0416025
57	0.0413476
58	0.0396341
59	0.0301205
60	0.03003
61	0.0299401
62	0.0312966
63	0.035503
64	0.0424597
65	0.0477569
66	0.0461095
67	0.045977
68	0.0454985
69	0.0454545
70	0.0443636
71	0.0413064
72	0.0381569
73	0.0341394
74	0.0311615
75	0.0289344
76	0.0288936
77	0.0288529
78	0.0288124
79	0.0287719
80	0.0294118
81	0.0300489
82	0.0306834
83	0.0326616
84	0.033957
85	0.0359116
86	0.0378527
87	0.0378007
88	0.0410397
89	0.0416382
90	0.044837
91	0.0458221
92	0.0464022
93	0.0488948
94	0.0501002
95	0.0499175
96	0.0485997
97	0.0485397
98	0.047191
99	0.0458716
100	0.0458529
101	0.0458342
102	0.0458155
103	0.0463336
104	0.0463149
105	0.0462963
106	0.0464695
107	0.0466425
108	0.0469126
109	0.0470848
110	0.0468562
111	0.0470282
112	0.0472
113	0.0473526
114	0.0477141
116	0.0480558
117	0.0494342
118	0.0496032
119	0.0501487
120	0.0501089
121	0.0502771
123	0.0509881
124	0.0513428
125	0.051884
126	0.0524241
127	0.0529007
129	0.0537888
130	0.0547381
131	0.0554576
133	0.0560656
134	0.0565743
136	0.056692
137	0.0568536
138	0.0575651
139	0.0573372
141	0.0592793
143	0.0590889
144	0.0586114
145	0.0585059
146	0.056638
148	0.0549055
150	0.047619
151	0.0475344
153	0.0478299
154	0.0444738
156	0.0443956
158	0.0446194
159	0.0385448
161	0.0384449
162	0.0352234
164	0.0355765
166	0.0330508
167	0.0321761
169	0.0320946
171	0.0315789
172	0.0310663
174	0.0297195
176	0.0296699
177	0.03
179	0.0299252
181	0.0298013
183	0.0302782
184	0.0309951
187	0.031212
189	0.0294949
190	0.0313505
192	0.0311867
194	0.0279776
196	0.027501
198	0.027027
200	0.02692
202	0.0264508
204	0.0263676
206	0.025098
207	0.0254204
209	0.0268587
212	0.025641
214	0.0261538
216	0.0266512
218	0.027725
220	0.0280942
222	0.0287226
226	0.0277154
227	0.0276326
230	0.0272286
232	0.0263451
235	0.0261896
237	0.0257732
239	0.0256598
242	0.0259928
244	0.0241441
247	0.022972
249	0.0225403
250	0.0221429
253	0.0224439
257	0.0222379
259	0.0214864
262	0.0207236
264	0.019979
267	0.0202373
268	0.0191571
271	0.0197985
274	0.0230796
276	0.0260274
281	0.0330858
283	0.0359422
287	0.0347826
288	0.0347594
290	0.0388833
293	0.044137
296	0.0499837
299	0.0511234
302	0.0525636
307	0.0525413
309	0.0517536
314	0.0499044
317	0.0489451
319	0.049063
321	0.0489393
324	0.049592
327	0.0501979
331	0.0527841
334	0.0540818
337	0.0545753
342	0.0561616
344	0.0568616
348	0.0590347
351	0.0598529
357	0.0601266
359	0.0592417
362	0.0611603
365	0.0639797
369	0.0667705
375	0.0701505
378	0.0674623
382	0.062537
386	0.0646649
387	0.0644434
394	0.0646223
398	0.0622019
402	0.061388
403	0.0631501
407	0.0641405
414	0.0610423
419	0.0604161
422	0.0591748
426	0.0588447
431	0.0583922
434	0.05834
438	0.0587921
441	0.0592421
445	0.0600495
453	0.063247
454	0.0636261
459	0.0659995
463	0.0677516
468	0.0692209
473	0.0699366
480	0.0701504
482	0.0702594
487	0.0706089
493	0.0708517
498	0.0712038
502	0.0727288
508	0.0735619
514	0.0747716
517	0.0754792
525	0.075785
529	0.0761994
535	0.076048
539	0.0766599
545	0.0769822
551	0.0773837
558	0.0774395
560	0.0779429
565	0.0789613
576	0.0802361
581	0.0796248
587	0.0773224
593	0.0749543
599	0.0705279
605	0.0656582
611	0.0631403
617	0.0614199
623	0.059604
630	0.0570868
636	0.0529761
640	0.0499848
649	0.0495968
654	0.047141
662	0.0466156
668	0.0423002
675	0.0405497
682	0.0366007
689	0.0347943
694	0.0334318
703	0.0329004
705	0.0328816
711	0.0331915
721	0.0320881
726	0.0324096
736	0.0318245
744	0.0310755
747	0.0313226
758	0.030802
762	0.0311374
769	0.0327914
777	0.0337943
785	0.0365587
793	0.0409652
802	0.0426294
812	0.0460363
817	0.0501548
826	0.0529087
836	0.0540541
846	0.055635
854	0.0553099
861	0.0553266
873	0.0552818
876	0.0557228
884	0.0570302
898	0.0567654
909	0.0559061
916	0.0555605
923	0.0526316
929	0.0579117
947	0.0564619
949	0.0559631
958	0.0566665
972	0.056591
977	0.0572102
990	0.0567649
1002	0.0553432
1015	0.0543403
1026	0.0517897
1029	0.051486
1046	0.0496505
1057	0.0492096
1063	0.048552
1077	0.0477604
1079	0.0478071
1100	0.0480148
1101	0.0479017
1121	0.049125
1132	0.0470451
1140	0.0464377
1156	0.0456615
1165	0.0457423
1169	0.0458126
1183	0.0462399
1193	0.0463781
1205	0.0472528
1216	0.0477303
1228	0.0497957
1242	0.0503426
1254	0.0506191
1265	0.051884
1278	0.0523141
1302	0.0518974
1312	0.0508983
1316	0.0511489
1331	0.0511991
1343	0.0518495
1356	0.052741
1370	0.0543896
1389	0.0542249
1397	0.0549683
1421	0.0554921
1425	0.0557302
1440	0.0566744
1455	0.0577704
1473	0.05867
1485	0.0595213
1499	0.0618979
1513	0.063966
1528	0.0654217
1544	0.0667142
1559	0.0677625
1577	0.0685287
1591	0.0691052
1608	0.0703237
1622	0.0717759
1640	0.0740075
1655	0.0754245
1671	0.0778601
1689	0.0869504
1705	0.0899173
1722	0.0904516
1739	0.0933503
1757	0.0949453
1774	0.0956637
1793	0.0973509
1825	0.0933368
1845	0.0904859
1864	0.0891871
1882	0.0884759
1900	0.0866248
1918	0.0855009
1939	0.0850795
1959	0.0833948
1974	0.0814308
1979	0.0818889
2000	0.0824423
2035	0.0816346
2051	0.0813566
2070	0.0816022
2080	0.0815786
2121	0.0806367
2141	0.0792535
2163	0.0796233
2179	0.0792597
2194	0.0786341
2227	0.0791498
2231	0.0795007
2273	0.0793453
2286	0.0779364
2320	0.0769735
2343	0.0764696
2344	0.0765263
2368	0.0771488
2392	0.0780303
2415	0.0797421
2440	0.0816856
2464	0.0836986
2488	0.0845724
2527	0.0852172
2541	0.0855836
2571	0.0857039
2594	0.0859312
2615	0.086648
2651	0.0871872
2693	0.0863321
2711	0.0855943
2742	0.0852776
2751	0.0854559
2788	0.0856937
2831	0.0840324
2859	0.0835132
2888	0.0813833
2917	0.0789406
2945	0.0774792
2966	0.0752133
3003	0.07374
3028	0.0714971
3060	0.0710524
3071	0.071
3127	0.0692554
3132	0.0686765
3190	0.0696802
3216	0.0690901
3254	0.0677333
3266	0.0676983
3315	0.0658376
3349	0.0646979
3371	0.0641977
3411	0.0636677
3422	0.0642963
3489	0.0635741
3524	0.0619221
3556	0.0610222
3594	0.0598353
3626	0.0586943
3660	0.0581124
3679	0.0578419
3736	0.0571895
3769	0.0565712
3814	0.0561399
3818	0.0561513
3874	0.056842
3927	0.0567406
3932	0.0567689
4008	0.0565163
4050	0.056113
4058	0.0558768
4093	0.0559701
4136	0.0568602
4176	0.0570661
4255	0.0568285
4299	0.0568087
4312	0.0569076
4376	0.0573971
4415	0.0574054
4437	0.0575366
4501	0.0588968
4520	0.0591438
4566	0.0593178
4611	0.0595198
4696	0.0596272
4720	0.059745
4752	0.0615564
4840	0.0615584
4850	0.0615174
4896	0.0618322
4945	0.0626107
4993	0.0633928
5059	0.0652479
5100	0.0655423
5192	0.0656933
5196	0.0658026
5249	0.0661301
5300	0.0679215
5353	0.0692591
5407	0.0704186
5485	0.0724731
5537	0.0724444
5586	0.0724569
5632	0.0727413
5683	0.0731975
5741	0.0742761
5804	0.0755815
5858	0.076996
5914	0.0788172
6028	0.0803487
6091	0.079225
6149	0.0778319
6210	0.0764783
6276	0.0754457
6338	0.0739055
6402	0.073418
6417	0.0732279
6479	0.0750127
6596	0.0734119
6618	0.0732449
6697	0.0734715
6737	0.074583
6843	0.0747458
6892	0.0749699
6933	0.0767752
7070	0.0662538
7142	0.0658506
7213	0.0652442
7244	0.064829
7293	0.0655476
7360	0.0686325
7448	0.0700306
7514	0.0709579
7593	0.0731943
7665	0.0739472
7766	0.0769183
7890	0.0770155
7969	0.0748777
8047	0.0702893
8128	0.0671123
8209	0.0654756
8288	0.0620724
8375	0.0581771
8453	0.0569437
8504	0.0564913
8615	0.0562935
8684	0.0558767
8763	0.0559157
8890	0.0555103
8967	0.0544922
8980	0.0546372
9154	0.0546887
9217	0.0546631
9253	0.0549063
9398	0.0549265
9464	0.0554759
9537	0.0563664
9720	0.0862146
9735	0.0861163
9838	0.0881247
9920	0.0903385
10034	0.0908692
10124	0.0929656
10224	0.0950163
10323	0.0966078
10450	0.0990317
10560	0.100194
10646	0.103233
10749	0.106192
10850	0.110111
10960	0.111014
11086	0.111663
11273	0.111091
11401	0.109881
11509	0.107802
11525	0.107795
